timestamp,left_shoulder_pitch,left_shoulder_roll,left_shoulder_yaw,left_elbow,left_wrist_roll,left_wrist_pitch,left_wrist_yaw,right_shoulder_pitch,right_shoulder_roll,right_shoulder_yaw,right_elbow,right_wrist_roll,right_wrist_pitch,right_wrist_yaw,left_shoulder_pitch_vel,left_shoulder_roll_vel,left_shoulder_yaw_vel,left_elbow_vel,left_wrist_roll_vel,left_wrist_pitch_vel,left_wrist_yaw_vel,right_shoulder_pitch_vel,right_shoulder_roll_vel,right_shoulder_yaw_vel,right_elbow_vel,right_wrist_roll_vel,right_wrist_pitch_vel,right_wrist_yaw_vel,left_thumb_rot, left_thumb_prox, left_thumb_dist, left_middle_prox, left_middle_dist, left_index_prox, left_index_dist,right_thumb_rot, right_thumb_prox, right_thumb_dist, right_middle_prox, right_middle_dist, right_index_prox, right_index_dist
0.002000,0.167084,0.103028,0.825294,1.471483,-1.507496,0.118063,0.482107,0.052155,0.074997,-1.233057,1.191604,1.078760,-0.031692,-0.324959,-0.009204,-0.006136,0.024544,-0.003068,-0.007670,0.002945,0.011781,0.009204,-0.010738,0.010738,0.007670,-0.004602,-0.005890,-0.001963,-0.030569,0.599524,1.520709,-1.568053,-1.659189,-1.651244,-1.505959,0.000000,0.000000,0.000000,1.460625,1.721102,1.529324,1.724331
0.004000,0.167084,0.103040,0.825306,1.471471,-1.507508,0.118063,0.482100,0.052155,0.075021,-1.233069,1.191615,1.078760,-0.031684,-0.324959,0.003068,0.004602,0.009204,-0.012272,-0.003068,0.000982,0.000982,-0.003068,0.009204,0.000000,0.007670,-0.001534,0.004909,0.000000,-0.030569,0.599524,1.520709,-1.568053,-1.659189,-1.651244,-1.505959,0.000000,0.000000,0.000000,1.460625,1.721102,1.529324,1.724331
0.006000,0.167084,0.103040,0.825306,1.471483,-1.507472,0.118071,0.482100,0.052155,0.074997,-1.233069,1.191604,1.078760,-0.031684,-0.324959,0.000000,0.003068,-0.003068,-0.004602,0.024544,-0.009817,-0.001963,0.000000,-0.003068,0.007670,0.003068,0.001534,0.005890,-0.006872,-0.030569,0.599524,1.520709,-1.568053,-1.659189,-1.651244,-1.505959,0.000000,0.000000,0.000000,1.460625,1.721102,1.529324,1.724331
0.008000,0.167096,0.103028,0.825282,1.471471,-1.507496,0.118063,0.482100,0.052155,0.075021,-1.233057,1.191615,1.078760,-0.031684,-0.324951,0.003068,-0.004602,0.000000,-0.006136,0.007670,0.000982,0.000000,0.000000,-0.009204,0.006136,0.000000,-0.015340,-0.000982,0.000000,-0.030569,0.599524,1.520709,-1.568053,-1.659189,-1.651244,-1.505959,0.000000,0.000000,0.000000,1.460625,1.721102,1.529324,1.724331
0.010000,0.167096,0.103028,0.825306,1.471471,-1.507496,0.118071,0.482107,0.052155,0.075009,-1.233069,1.191615,1.078760,-0.031684,-0.324959,0.012272,-0.010738,0.018408,-0.013806,0.006136,0.006872,0.008836,-0.004602,-0.013806,0.003068,-0.009204,-0.003068,0.004909,-0.001963,-0.030569,0.599524,1.520709,-1.568053,-1.659189,-1.651244,-1.505959,0.000000,0.000000,0.000000,1.460625,1.721102,1.529324,1.724331
0.012000,0.167012,0.103040,0.825318,1.471483,-1.507496,0.118071,0.482100,0.052059,0.074997,-1.233093,1.191615,1.078808,-0.031684,-0.324966,-0.015340,0.000000,0.012272,0.000000,0.007670,0.000982,0.000000,-0.027612,-0.004602,-0.003068,0.007670,0.015340,0.019635,-0.013744,-0.030569,0.599524,1.520709,-1.568053,-1.659189,-1.651244,-1.505959,0.000000,0.000000,0.000000,1.460625,1.721102,1.529324,1.724331
0.014000,0.166940,0.103028,0.825330,1.471483,-1.507484,0.118063,0.482100,0.051904,0.074973,-1.233081,1.191604,1.078808,-0.031700,-0.324966,-0.026078,0.000000,0.023010,-0.006136,0.012272,-0.003927,-0.000982,-0.059825,-0.009204,-0.007670,0.000000,0.006136,-0.005890,-0.011781,-0.030569,0.599524,1.520709,-1.568053,-1.659189,-1.651244,-1.505959,0.000000,0.000000,0.000000,1.460625,1.721102,1.529324,1.724331
0.016000,0.166928,0.103028,0.825330,1.471483,-1.507508,0.118071,0.482100,0.051880,0.074961,-1.233033,1.191615,1.078796,-0.031684,-0.324951,-0.027612,-0.007670,0.001534,0.000000,0.009204,0.005890,0.000000,-0.030680,-0.006136,0.018408,0.012272,-0.010738,0.007854,-0.011781,-0.030569,0.599524,1.520709,-1.568053,-1.659189,-1.651244,-1.505959,0.000000,0.000000,0.000000,1.460625,1.721102,1.529324,1.724331
0.018000,0.166952,0.103040,0.825342,1.471483,-1.507496,0.118071,0.482107,0.051892,0.074973,-1.233045,1.191604,1.078820,-0.031684,-0.324951,0.000000,-0.003068,0.015340,-0.003068,0.026078,0.005890,0.004909,-0.009204,0.001534,-0.001534,-0.009204,0.000000,-0.001963,0.003927,-0.030569,0.599524,1.520709,-1.568053,-1.659189,-1.651244,-1.505959,0.000000,0.000000,0.000000,1.460625,1.721102,1.529324,1.724331
0.020000,0.166988,0.103028,0.825330,1.471495,-1.507508,0.118078,0.482107,0.051868,0.074949,-1.233057,1.191580,1.078844,-0.031692,-0.324951,0.000000,-0.006136,0.004602,0.003068,-0.003068,0.016690,0.007854,-0.003068,0.007670,0.010738,-0.026078,-0.007670,-0.004909,0.004909,-0.030569,0.599524,1.520709,-1.568053,-1.659189,-1.651244,-1.505959,0.000000,0.000000,0.000000,1.460625,1.721102,1.529324,1.724331
